date wind precip sunshine clouds pressure temperature
2024-06-13 3.3 0 10.3 5.5 1005.7 14
2024-06-14 3.7 2 0.6 7.8 1001 14.2
2024-06-15 4.5 4 5.1 6.7 995.6 16.5
2024-06-16 3.7 0 10.8 5 998.4 18.8
2024-06-17 3.2 1.2 7.1 7.4 1001 18.8
2024-06-18 2.4 10.8 7.3 7.5 1002.2 19.6
2024-06-19 3.6 1.2 2.6 5.8 1004.3 15.8
2024-06-20 2.3 0 11.9 6.5 1009.7 17.3
2024-06-21 3.5 2.1 4.2 6.9 1001.4 20
2024-06-22 5.5 8.2 4.6 6.4 999 18.8
2024-06-23 4.2 0 6.7 5.6 1006.1 18.6
2024-06-24 1.9 0 12.1 2.9 1008.7 19.4
2024-06-25 4.2 0 15 1.2 1006.6 21.3
2024-06-26 4.6 0 15.2 1.5 1001.3 24.5
2024-06-27 2.9 3.5 6.3 7.5 997.8 23.8
2024-06-28 4.4 2 11.5 4.3 1001.4 22.6
2024-06-29 3.3 1.6 12.9 3.3 1003.3 23.1
2024-06-30 4.8 3 1.7 7.5 993.8 21.2
2024-07-01 3.5 8 2.6 7.7 999.5 16.8
2024-07-02 5.2 2.6 1.6 7.5 999.4 14.9
2024-07-03 3.7 0 2.7 7.6 997.4 14.9
2024-07-04 4.4 0.6 4.7 5.7 995.5 15.2
2024-07-05 4.5 0 8.6 6.1 998.9 16.4
2024-07-06 5.3 0.1 10.3 7.4 993.7 21.7
2024-07-07 4.5 0 13.2 6.7 1002 18.8
2024-07-08 2.8 0 9.1 5 1006.5 20.9
2024-07-09 3.6 0 13.9 3.5 1006.1 24.9
2024-07-10 3.2 37.6 7.5 6.2 1003.2 23.1
2024-07-11 2.8 0.1 8.8 5.4 1004.6 21.8
2024-07-12 3.3 17.9 0.5 7.5 1000.1 20
2024-07-13 4.3 0 6.8 5.6 1000.1 17.5
2024-07-14 2.1 0.4 7.1 6 1002.3 18.8
2024-07-15 2.4 0 14 4.5 1001.3 22.4
2024-07-16 3.7 0.1 4.7 5.7 999.8 21.3
2024-07-17 4.7 0 7.7 5.3 1007.4 19.1
2024-07-18 2.2 0 14.3 4.8 1011.9 20.2
2024-07-19 2.3 0 12.7 3.8 1009 22.7
2024-07-20 3.5 0 10.3 3.7 1001.3 23.7
2024-07-21 3.5 0.4 10.4 3.7 996.9 23.7
2024-07-22 4.8 0.2 3.2 6 1002.3 19.8
2024-07-23 2.8 2.7 5.8 5.4 1005 19.2
2024-07-24 4.6 0.2 8.1 6.1 1004.7 18.8
2024-07-25 3.1 0 13.8 3.1 1004 17.5
2024-07-26 3.2 2.5 3.6 7.6 1000.6 19.6
2024-07-27 2.1 28.9 0.7 7.9 1002.7 19.7
2024-07-28 4.8 3.3 8.3 4.3 1008.6 18
2024-07-29 3.5 0 15.1 1.2 1012.5 18.1
2024-07-30 2.5 0 14.6 2 1007.4 20.8
2024-07-31 2.4 0 10.2 6.8 1002.9 23.4
2024-08-01 2.9 0 13.6 3.5 1000.5 22.9
2024-08-02 2.7 0 0.1 8 999.4 19.4
2024-08-03 2.2 4.1 12.2 4.8 999.9 20.4
2024-08-04 4 6.8 6.3 7.1 1000 19.4
2024-08-05 3.1 0 10.7 3.5 1003.8 18.2
2024-08-06 2.4 0 13.9 1.8 1002.7 20.3
2024-08-07 3 0.3 11.2 6.6 999.7 22.1
2024-08-08 3.4 0 7.1 6.8 1003.9 20
2024-08-09 4.3 1.1 4.2 7.3 1003.6 19.7
2024-08-10 4.2 0 12.5 3.8 1007.3 20.7
2024-08-11 3.3 0 12.7 3.6 1009.5 21.1
2024-08-12 2.7 0 14.3 3 1004.9 21.3
2024-08-13 4.5 0 13.5 1.9 1001.9 22.8
2024-08-14 4.2 1.9 11.6 6.7 1000.2 24.2
2024-08-15 3.3 0 9.2 2.9 1003.5 23.3
2024-08-16 3.7 0 10.5 4.1 1003.4 23.7
2024-08-17 2.3 0 5.8 7.4 1000.8 23.2
2024-08-18 2.9 0 0.5 8 998.9 20
2024-08-19 3 0 9.2 4.5 1005.7 18.6
2024-08-20 2.9 0 12.4 2.3 1002.5 20.7
2024-08-21 5.8 0 6.2 5.7 1000.8 19.5
2024-08-22 4.1 0 5.2 7.5 1001.6 18.5
2024-08-23 5.6 0 10.2 7 998 23.1
2024-08-24 4.2 0.3 13.4 1 999.7 25.4
2024-08-25 4.7 0 4.5 7.6 1005.8 20.5
2024-08-26 2.4 0 8.3 3.4 1011.1 19.2
2024-08-27 2.9 0 13.2 0.1 1012 19.4
2024-08-28 4.1 0 12.8 0 1008 22.4
2024-08-29 2.6 0 12 2.3 1005.2 26.8
2024-08-30 4.2 0 9.4 6.8 1008.5 22.6
2024-08-31 3.2 0 8.2 6.1 1013.3 18.9
2024-09-01 4 0 10.6 5.1 1009.4 19.2
2024-09-02 3.9 0 11.6 6.5 1004.3 19.8
2024-09-03 3.6 0 10.5 4 1003.4 24.3
2024-09-04 4.4 0 11.8 1.4 1002.9 26.1
2024-09-05 6.6 0 12.2 0 1003.1 25.3
2024-09-06 5 0 12 1.8 1003.3 23.2
2024-09-07 4.1 0 11.4 2 1002.3 23.4
2024-09-08 3.3 2.6 10.7 4.8 996.8 24.7
2024-09-09 4.8 8.6 2.2 7 990.5 17.6
2024-09-10 4.8 0.3 4.4 7 996.3 16.2
2024-09-11 4.8 0.1 0.4 7.9 993.2 13.9
2024-09-12 2.6 0 6.4 7.1 1000.9 11.3
