Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2008-04-08	4.652983	3.865	4.513492	11.651577	21.188049	NA
2008-04-09	4.610362	3.7195	4.389387	11.561415	21.291224	NA
2008-04-10	4.705042	3.7415	4.402452	11.683208	21.453354	NA
2008-04-11	4.479455	3.5995	4.369791	11.393544	20.841673	NA
2008-04-14	4.49894	3.6305	4.428578	11.249335	20.679541	NA
2008-04-15	4.517205	3.625	4.493897	11.129285	20.819557	NA
2008-04-16	4.679164	3.7295	4.696383	11.33327	21.335445	NA
2008-04-17	4.703216	3.702	4.742108	11.196533	21.534431	NA
2008-04-18	4.90262	4.005	4.86621	13.434893	22.109262	NA
2008-04-21	5.119378	4.009	5.049103	13.394544	22.418793	NA
2008-04-22	4.877048	3.98	4.996847	13.823187	22.293514	NA
2008-04-23	4.958941	4.05	4.911932	13.611232	23.177881	NA
2008-04-24	5.143124	3.8845	5.486735	13.525304	23.43582	NA
2008-04-25	5.167174	4.043	4.898871	13.550709	21.983984	NA
2008-04-28	5.243587	4.0985	5.362629	13.751456	21.364922	NA
2008-04-29	5.329134	4.037	5.303845	13.909613	21.106987	NA
2008-04-30	5.295647	3.9315	5.39529	14.303636	21.018539	NA
2008-05-01	5.479829	3.968	5.538989	14.771632	21.667078	NA
2008-05-02	5.508446	3.8655	5.40182	14.477983	21.549164	NA
2008-05-05	5.623827	3.796	5.441012	14.816962	21.43125	NA
2008-05-06	5.682583	3.7855	5.40182	14.60426	21.88818	NA
2008-05-07	5.558677	3.659	5.199335	14.420947	21.527054	NA
2008-05-08	5.633873	3.6395	5.356098	14.520822	21.57128	NA
2008-05-09	5.584859	3.6205	5.290779	14.276488	21.659714	NA
2008-05-12	5.728249	3.7265	5.323439	14.568892	22.101898	NA
2008-05-13	5.783047	3.728	5.375695	14.520573	22.027925	NA
2008-05-14	5.670405	3.71	5.316907	14.353699	22.138884	NA
2008-05-15	5.776045	3.806	5.336502	14.47076	22.523521	NA
2008-05-16	5.711808	3.823	5.297311	14.447597	22.183266	NA
2008-05-19	5.589427	4.1145	5.238527	14.384085	21.791225	NA
2008-05-20	5.659448	4.036	5.225462	14.410984	21.273443	NA
2008-05-21	5.424726	3.915	5.094825	13.698405	20.896204	NA
2008-05-22	5.390021	3.963	4.676788	13.685204	21.058935	NA
2008-05-23	5.515447	3.9175	4.487367	13.564656	20.748262	NA
2008-05-27	5.67558	4.031	4.441643	13.970136	21.036743	NA
2008-05-28	5.693239	4.004	4.428578	14.152951	20.844427	NA
2008-05-29	5.683497	4.0175	4.382856	14.520573	20.940582	NA
2008-05-30	5.74621	4.081	4.441643	14.590312	20.947981	NA
2008-06-02	5.665535	4.0115	4.337133	14.32132	20.563347	NA
2008-06-03	5.643311	4.0055	4.363259	14.129539	20.200901	NA
2008-06-04	5.637831	4.075	4.21956	14.25208	20.371023	NA
2008-06-05	5.766912	4.2255	4.180371	14.602765	20.933191	NA
2008-06-06	5.651532	4.0315	3.945224	14.122067	20.334044	NA
2008-06-09	5.528842	3.9715	4.154241	13.894669	20.496769	NA
2008-06-10	5.651532	3.981	3.997479	13.802515	20.62991	NA
2008-06-11	5.504487	3.864	3.899501	13.579102	20.060356	NA
2008-06-12	5.274641	3.8075	3.919095	13.772129	20.888813	NA
2008-06-13	5.247546	3.9585	4.095456	14.234396	21.502758	NA
2008-06-16	5.383626	4.085	4.245688	14.266775	21.399197	NA
2008-06-17	5.523364	4.1485	4.311005	14.183337	21.303034	NA
2008-06-18	5.441776	4.126	4.062795	14.006998	21.051542	NA
2008-06-19	5.507228	4.213	4.128116	13.952702	21.399197	NA
2008-06-20	5.335833	4.055	3.794991	13.609737	20.881413	NA
2008-06-23	5.271597	4.034	3.448805	13.579351	20.689089	NA
2008-06-24	5.274336	3.982	3.474932	13.506873	20.511566	NA
2008-06-25	5.400372	4.0255	3.422677	13.723561	20.970173	NA
2008-06-26	5.122422	3.815	3.311637	13.171131	20.526361	NA
2008-06-27	5.178134	3.733	3.25285	13.152451	20.437599	NA
2008-06-30	5.097459	3.6665	3.141809	13.111355	20.348837	NA
2008-07-01	5.31787	3.681	3.07649	13.31833	19.875431	NA
2008-07-02	5.119987	3.572	2.847877	13.126798	19.143143	NA
2008-07-03	5.179048	3.6	2.887067	13.374868	19.217108	NA
2008-07-07	5.332482	3.6245	2.919726	13.546973	19.254095	NA
2008-07-08	5.466129	3.752	3.200595	13.811481	19.120953	NA
2008-07-09	5.30478	3.5305	3.233254	13.488193	18.662346	NA
2008-07-10	5.377233	3.5315	2.991576	13.463784	18.825075	NA
2008-07-11	5.253937	3.427	3.174468	13.295166	18.677141	NA
2008-07-14	5.293514	3.314	3.043831	12.991804	18.603172	NA
2008-07-15	5.164434	3.3515	3.037299	12.85407	19.342854	NA
2008-07-16	5.260941	3.592	3.585974	13.339998	20.163912	NA
2008-07-17	5.230495	3.6055	3.585974	13.2862	20.356228	NA
2008-07-18	5.027743	3.456	3.553314	11.988066	19.128349	NA
2008-07-21	5.062449	3.424	3.579442	11.676235	18.965614	NA
2008-07-22	4.932455	3.3985	3.814588	11.883209	19.083979	NA
2008-07-23	5.061536	3.527	3.938691	12.184828	19.549971	NA
2008-07-24	4.841429	3.936	3.337763	11.846098	18.817688	NA
2008-07-25	4.935501	3.9155	3.298573	12.253571	19.350256	NA
2008-07-28	4.700475	3.799	3.102617	11.883458	18.862068	NA
2008-07-29	4.782065	3.9105	3.278977	12.032649	19.313267	NA
2008-07-30	4.867306	3.9105	3.161405	12.022437	19.402033	NA
2008-07-31	4.838993	3.817	3.135277	11.799522	19.024799	NA
